Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Female,21,Honor's 1st Year,Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,None,None,Student (Local)
Male,25,Master student,Noakhali science &technology university ,Noakhali Science and Technology University,Public University (Science and Tecj),"Bachelor, Masters/MS",Microbiology,Bangladesh,None,none,Student (Local)
Female,31,"Assistant Professor,  Department of Microbiology  ",Popular Medical College  ,Popular Medical College,Private University,MD,"Microbiology, Biochemistry, Virology, Immunology",Bangladesh ,09,01,Teacher (Local)
Female,22,Second year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,No.But i am highly interested ,No. But i am highly interested. ,Student (Local)
Female,21,Honor's 1st year,Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,N/A,N/A,Student (Local)
Female,1994,Master’s ,University of Dhaka ,Dhaka University,Public University (General),Masters/MS,"Soil, Water and Environment  ",Bangladesh ,None,None,Student (Local)
Female,22,Honor's Final Year,BRAC University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,22,Honor's final year student ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,21,Honor's 2nd semester ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,32,MBBS,Eastern medical College hospital ,Eastern medical College hospital,Research Organization,MBBS,Microbiology,Bangladesh ,20042006,20042006,Service (Local/abroad)
Male,21,Honor's Final Year,Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,0,0,Student (Local)
Male,21,3rd year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,No,No,Student (Local)
Male,21,Honor's 3rd year student,Brac University,BRAC,Private University,HSC,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Pharmacy, Virology, Immunology",Bangladesh,0,1,Student (Local)
Male,20,Honers 3rd year 2nd semester,Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,0,01,Student (Local)
Male,23,MS student ,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Female,21,Honor's 2nd year (4rth semester),Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,0,0,Student (Local)
Female,21,"1st year,2nd semester",Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,.,.,Student (Local)
Male,21,Honor's 1st year,BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,N/A,N/A,Student (Local)
Female,20,"Undergraduate, Bachelor's  (2nd year)",Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,Nill,Nill,Student (Local)
Female,22,"Bachelor of Pharmacy, 2nd year 2nd semester ",Brac University ,BRAC,Private University,Bachelor,"Microbiology, Pharmacy",Bangladesh,N/A,N/A,Student (Local)
Female,19,Bachelor,Brac university,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,No,No,Student (Local)
Male,25,Master student,Noakhali Science and Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),"HSC, Bachelor",Microbiology,Bangladesh,None,None,Student (Local)
Female,21,B-pharm ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,21,Honor's First Year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,Not yet,Not yet ,Student (Local)
Male,24,Master's,NSTU,North South University,Private University,Bachelor,"Microbiology, Immunology",Bangladesh,0,1,Student (Local)
Male,23,Honours final year,Noakhali Science And Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,22,.,Brac University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,44,Associate Professor ,Jahangirnagar University,Jahangirnagar University,Public University (General),PhD,Biotechnology/Genetic Engineering,Bangladesh,8,12,Teacher (Local)
Female,21,1st Year 2nd Semester ,Brac University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,01734108783,01734108783,Student (Local)
Female,20,Honor's first year 2nd semester ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,21,Honor's first year,BRAC University,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,21,0,BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,38.5,PhD,Kumamoto University,Kumamoto University,Abroad University,PhD,Microbiology,Bangladesh,0,16,Researcher (Local/abroad)
Male,25,Master's ,HSTU,Hajee Mohammad Danesh Science & Technology University,Public University (Agriculture),Doctor of veterinary Medicine,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Pharmacy, Zoology, Virology, Immunology, Public health",Bangladesh,None ,None,Student (Local)
Female,19+,Not applicable ,BRAC University ,BRAC,Private University,"HSC, Bachelor",Pharmacy,"Dhaka, Bangladesh ",None as of yet,None as of yet,Student (Local)
Female,22,Honors's Final year student ,University of Science and Technology Chittagong ,University of Science and Technology Chittagong,Private University,HSC,"Biochemistry, Biotechnology/Genetic Engineering",Chattogram ,Running,Running,Student (Local)
Male,27,Masters Student,"Department of Pharmacy,  JU",Jahangirnagar University,Public University (General),Bachelor,Pharmacy,Bangladesh,0,4,Student (Local)
Female,20,Bachelors ,Taslia Afrose Eva,"Tejgoan College, Dhaka",Public University (General),HSC,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Pharmacy, Virology, Public health",Bangladesh ,N/A,N/A,Student (Local)
Male,30,Master’s student ,Jagannath University ,Jagannath University,Public University (General),Bachelor,Microbiology,Bangladesh ,1,1,Student (Local)
Male,27,M.Sc Student,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,One,None,Service (Local/abroad)
Male,21,Pharmacy First year second semester ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,Not yet,Not yet,Student (Local)
Female,25,Msc in microbiology ,Primeasia University ,Primeasia University,Private University,Masters/MS,Microbiology,Bangladesh ,0,0,Student (Local)
Female,35,Graduate student,"Rosalind Franklin University of Medicine and Science, USA","Rosalind Franklin University of Medicine and Science, USA",Abroad University,Masters/MS,Virology,United Stated of America,0,3,Researcher (Local/abroad)
Male,37+,Assistant Professor,Primeasia University,Primeasia University,Private University,PhD,Microbiology,Bangladesh,3,17,Teacher (Local)
Male,24,Master’s student,Gono Bishwabidyalay ,Gono Bishwabidyalay,Private University,Masters/MS,Microbiology,Bangladesh ,1,1,Student (Local)
Male,26,Master’s ,Gono Bishwabidyalay ,Gono Bishwabidyalay,Private University,Masters/MS,Microbiology,Bangladesh ,No,No,Student (Local)
Male,21,1st year 2nd semister,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,19,Honor's First Year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,N/A,N/A,Student (Local)
Male,37,Postdoc,University of Oklahoma ,University of Oklahoma,Abroad University,PhD,"Microbiology, Immunology",USA,0,19,Researcher (Local/abroad)
Male,32,PhD Student ,University of Manitoba,University of Manitoba,Abroad University,Masters/MS,Microbiology,Canada,2,1,Researcher (Local/abroad)
Female,23 years ,Graduate student ,Brac University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,1,0,Student (Local)
Male,25,Masters,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,3,0,Service (Local/abroad)
Female,31,Graduate Student (phd),Aichi medical University,Aichi medical University,Abroad University,Masters/MS,Biochemistry,Japan,0,1,Researcher (Local/abroad)
Male,26,Genomics Specialist,Georgia Genomics and Bioinformatics Core,Georgia Genomics and Bioinformatics Core,Abroad University,Masters/MS,"Microbiology, Public health",USA,NA,NA,Researcher (Local/abroad)
Male,25,Masters,Ju,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,No,No,Student (Local)
Male,30,Master student,Friedrich Schiller Universität Jena,Friedrich Schiller Universität Jena,Abroad University,Masters/MS,Microbiology,Germany,0,1,Student (Local)
Male,34,Assistant Professor,Brac University,BRAC,Private University,PhD,Biotechnology/Genetic Engineering,Bangladesh,03,13,Teacher (Local)
Male,43,Question is not clear to me,Jahangirnagar University,Jahangirnagar University,Public University (General),PhD,"Microbiology, Public health",Bangladesh,2,57,Teacher (Local)
Male,28,Lecturer,Jashore University of Science and Technology,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,0,16,Service (Local/abroad)
Male,33,Bachelor/Masters,Khulna medical college ,Khulna medical college,Public University (General),"Masters/MS, MBBS",Public health,Bangladesh,None,None,Student (Local)
Male,24,Master's,University of Dhaka,Dhaka University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,37,Deputy Director,Bangladesh Bank,Bangladesh Bank,Others,Masters/MS,Microbiology,Bangladesh,0,0,Service (Local/abroad)
Female,26,master's,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,no,no,Student (Local)
Male,27,Master's,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,No,No,Student (Local)
Female,33,Senior Scientific Officer,Bangladesh Atomic Energy Commission ,Bangladesh Atomic Energy Commission,Research Organization,Masters/MS,Microbiology,Bangladesh ,0,04,Researcher (Local/abroad)
Female,22,7th semester,North South University ,North South University,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,26,Masters,North South University ,North South University,Private University,Masters/MS,Biochemistry,Bangladesh,0,0,Student (Local)
Female,25,Master’s ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,None,6,Student (Local)
Female,25,Master's,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,None,1,Student (Local)
Female,31,"Senior officer, quality control",Incepta Pharmaceutical Ltd,Incepta Pharmaceuticals Limited,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh,1,0,Service (Local/abroad)
Female,21,Second year,BRAC University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,0,0,Student (Local)
Male,36,"Sr. Executive, Microbiology, Quality Control",Square Pharmaceuticals Ltd. ,Square Pharmaceuticals Ltd,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh,0,0,Service (Local/abroad)
Female,24,Master student ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,"Microbiology, Biotechnology/Genetic Engineering, Virology, Immunology",Bangladesh jatrabari ,Not yet punblish ,Not yet,Student (Local)
Female,28,Master student,Stamford university Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,1,0,Student (Local)
Male,24,Forth,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Female,23,Master's,Stamford University Of Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladeshi,Not yet,Not yet,Student (Local)
Male,37,Sr. Deputy Manager - Microbiology ,Eskayef Pharmaceuticals Ltd.,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh ,1,2,Service (Local/abroad)
Female,24,Master’s ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,37,Associate Prof.,Jahangirnagar University ,Jahangirnagar University,Public University (General),PhD,Microbiology,Bangladesh,10,10,Teacher (Local)
Female,20,2nd year in my bachelor,Muma Millat,Jahangirnagar University,Public University (General),Bachelor,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Virology",Bangladesh,none,none,Student (Local)
Female,22 year,Honor's Forth year Student,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Male,25,Officer,Renata Pharmaceutical Ltd.,Renata Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh,0,4,Service (Local/abroad)
Male,27,Lecturer,Jahangirnagar University,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,0,20,Teacher (Local)
Male,31,"Forth Year, Bachelor",Stamford University Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,Not Applicable,Not Applicable,Student (Local)
Female,21,forth year,stamford university of bangladesh ,Stamford University Bangladesh,Private University,"Bachelor, Masters/MS",Microbiology,bangladesh ,no,no,Student (Local)
Female,26,Master’s ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,No,1,Student (Local)
